station_year,quarter,station_number,station_name,number_of_racks,latitude,longitude
2016,4,1012,North Shore Trail & Fort Duquesne Bridge,35,40.445834,-80.008882
2016,4,1013,Isabella St & Federal St (PNC Park),15,40.447166,-80.003566
2016,4,1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
2016,4,1015,Federal St & E North Ave,12,40.45509087,-80.0063467
2016,4,1016,17th St & Penn Ave,19,40.449631,-79.985893
2016,4,1017,21st St & Penn Ave,18,40.451742,-79.983217
2016,4,1018,37th St & Butler St,21,40.466103,-79.964628
2016,4,1019,42nd St & Butler St,17,40.47021248,-79.96066332
2016,4,1020,42nd St & Penn Ave (Children's Hospital),15,40.465893,-79.954417
2016,4,1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
2016,4,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),15,40.459812,-79.945548
2016,4,1023,Liberty Ave & Baum Blvd,19,40.456505,-79.939362
2016,4,1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
2016,4,1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
2016,4,1026,Penn Ave & S Whitfield St,13,40.461603,-79.925624
2016,4,1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
2016,4,1028,Penn Ave & Putnam St (Bakery Square),19,40.455821,-79.915248
2016,4,1029,Alder St & S Highland Ave,19,40.457415,-79.92492
2016,4,1030,S Euclid Ave & Centre Ave,12,40.458933,-79.929123
2016,4,1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
2016,4,1032,Walnut St & College St,14,40.453382,-79.92731
2016,4,1033,Ivy St & Walnut St,19,40.45177,-79.932324
2016,4,1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
2016,4,1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
2016,4,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),19,40.442398,-79.951479
2016,4,1037,Frew St & Schenley Dr,20,40.441032,-79.948042
2016,4,1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
2016,4,1039,Atwood St & Bates St,19,40.437987,-79.95367
2016,4,1040,Bigelow Blvd & Fifth Ave,21,40.444708,-79.955025
2016,4,1041,Fifth Ave & S Bouquet St,19,40.442325,-79.957604
