station_year,quarter,station_number,station_name,number_of_racks,latitude,longitude
2015,3,1048,S 18th St & Sidney St,16,40.429338,-79.980684
2015,3,1049,S 12th St & E Carson St,19,40.4285528,-79.9863687
2015,4,1000,Liberty & Stanwix,16,40.441326,-80.004679
2015,4,1001,Forbes Ave & Market Sq,19,40.440877,-80.00308
2015,4,1002,Third & Wood,15,40.43903,-80.00186
2015,4,1003,First Ave & Smithfield St,15,40.4372,-80.000375
2015,4,1004,First Ave & B St,15,40.4358002,-79.9968767
2015,4,1005,Forbes Ave & Grant St,19,40.4387769,-79.9974405
2015,4,1006,Ross St & Sixth Ave,21,40.4400542,-79.9951376
2015,4,1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
2015,4,1008,Centre Ave and Consol,35,40.440368,-79.988636
2015,4,1009,12th St & Penn Ave,19,40.445844,-79.99238
2015,4,1010,10th St & Penn Ave,15,40.444614,-79.9958114
2015,4,1011,Fort Duquesne Blvd & 7th St,15,40.4448352,-80.0007479
2015,4,1012,North Shore Trail & Fort Duquesne Bridge,35,40.445834,-80.008882
2015,4,1013,Isabella St & Federal St,15,40.447571,-80.003964
2015,4,1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
2015,4,1015,Federal St & E North Ave,12,40.45509087,-80.0063467
2015,4,1016,17th St & Penn Ave,19,40.449631,-79.985893
2015,4,1017,21st St & Penn Ave,19,40.452124,-79.983543
2015,4,1018,37th St & Butler St,21,40.466103,-79.964628
2015,4,1019,42nd St & Butler St,17,40.470188,-79.9603066
2015,4,1020,42nd & Penn Ave.,15,40.465893,-79.954417
2015,4,1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
2015,4,1022,Liberty Ave & S Millvale,15,40.4599487,-79.9456124
2015,4,1023,Liberty Ave & Baum Blvd,21,40.456505,-79.939362
2015,4,1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
2015,4,1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
2015,4,1026,S Whitfield St & Baum Blvd,13,40.460982,-79.926302
2015,4,1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
2015,4,1028,Penn Ave & Putnam St (Bakery Sq),19,40.455821,-79.915248
2015,4,1029,Alder St & S Highland Ave,19,40.4573211,-79.9248275
2015,4,1030,S Euclid Ave & Centre Ave,12,40.4589116,-79.9290211
2015,4,1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
2015,4,1032,Maryland Ave & Walnut St,15,40.452621,-79.928637
2015,4,1033,Ivy St & Walnut St,19,40.45177,-79.932324
2015,4,1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
2015,4,1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
2015,4,1036,Schenley Dr at Schenley Plaza,19,40.442398,-79.951479
2015,4,1037,Frew St & Schenley Dr,20,40.441032,-79.948042
2015,4,1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
2015,4,1039,Atwood St & Bates St,19,40.437987,-79.95367
2015,4,1040,Bigelow Blvd & Fifth Ave,21,40.4446284,-79.9550156
2015,4,1041,Fifth Ave & S Bouquet,19,40.442325,-79.957604
2015,4,1042,Centre Ave & Kirkpatrick St,12,40.445019,-79.977194
2015,4,1043,Coltart Ave & Forbes Ave,15,40.438876,-79.960179
2015,4,1044,Zulema St & Coltart Ave,19,40.435986,-79.956942
2015,4,1045,S 27th & Tunnel Blvd,19,40.428658,-79.965228
2015,4,1046,S 25th St & E Carson St,18,40.42802,-79.969799
2015,4,1047,S 22nd St & E Carson St,20,40.428576,-79.974559
2015,4,1048,S 18th St & Sidney St,16,40.429338,-79.980684
2015,4,1049,S 12th St & E Carson St,19,40.4285528,-79.9863687
2016,1,1000,Liberty & Stanwix,16,40.441326,-80.004679
2016,1,1001,Forbes Ave & Market Sq,19,40.440877,-80.00308
2016,1,1002,Third & Wood,15,40.43903,-80.00186
2016,1,1003,First Ave & Smithfield St,15,40.4372,-80.000375
2016,1,1004,First Ave & B St,15,40.4358002,-79.9968767
2016,1,1005,Forbes Ave & Grant St,19,40.4387769,-79.9974405
2016,1,1006,Ross St & Sixth Ave,21,40.4400542,-79.9951376
2016,1,1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
2016,1,1008,Centre Ave and Consol,35,40.440368,-79.988636
2016,1,1009,12th St & Penn Ave,19,40.445844,-79.99238
2016,1,1010,10th St & Penn Ave,15,40.444614,-79.9958114
2016,1,1011,Fort Duquesne Blvd & 7th St,15,40.4448352,-80.0007479
2016,1,1012,North Shore Trail & Fort Duquesne Bridge,35,40.445834,-80.008882
2016,1,1013,Isabella St & Federal St,15,40.447571,-80.003964
2016,1,1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
2016,1,1015,Federal St & E North Ave,12,40.45509087,-80.0063467
2016,1,1016,17th St & Penn Ave,19,40.449631,-79.985893
2016,1,1017,21st St & Penn Ave,19,40.452124,-79.983543
2016,1,1018,37th St & Butler St,21,40.466103,-79.964628
2016,1,1019,42nd St & Butler St,17,40.470188,-79.9603066
2016,1,1020,42nd & Penn Ave.,15,40.465893,-79.954417
2016,1,1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
2016,1,1022,Liberty Ave & S Millvale,15,40.4599487,-79.9456124
2016,1,1023,Liberty Ave & Baum Blvd,21,40.456505,-79.939362
2016,1,1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
2016,1,1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
2016,1,1026,S Whitfield St & Baum Blvd,13,40.460982,-79.926302
2016,1,1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
2016,1,1028,Penn Ave & Putnam St (Bakery Sq),19,40.455821,-79.915248
2016,1,1029,Alder St & S Highland Ave,19,40.4573211,-79.9248275
2016,1,1030,S Euclid Ave & Centre Ave,12,40.4589116,-79.9290211
2016,1,1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
2016,1,1032,Maryland Ave & Walnut St,15,40.452621,-79.928637
2016,1,1033,Ivy St & Walnut St,19,40.45177,-79.932324
2016,1,1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
2016,1,1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
2016,1,1036,Schenley Dr at Schenley Plaza,19,40.442398,-79.951479
2016,1,1037,Frew St & Schenley Dr,20,40.441032,-79.948042
2016,1,1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
2016,1,1039,Atwood St & Bates St,19,40.437987,-79.95367
2016,1,1040,Bigelow Blvd & Fifth Ave,21,40.4446284,-79.9550156
2016,1,1041,Fifth Ave & S Bouquet,19,40.442325,-79.957604
2016,1,1042,Centre Ave & Kirkpatrick St,12,40.445019,-79.977194
2016,1,1043,Coltart Ave & Forbes Ave,15,40.438876,-79.960179
2016,1,1044,Zulema St & Coltart Ave,19,40.435986,-79.956942
2016,1,1045,S 27th & Tunnel Blvd,19,40.428658,-79.965228
2016,1,1046,S 25th St & E Carson St,18,40.42802,-79.969799
2016,1,1047,S 22nd St & E Carson St,20,40.428576,-79.974559
2016,1,1048,S 18th St & Sidney St,16,40.429338,-79.980684
2016,1,1049,S 12th St & E Carson St,19,40.4285528,-79.9863687
2016,2,1000,Liberty & Stanwix,16,40.441326,-80.004679
2016,2,1001,Forbes Ave & Market Sq,19,40.440877,-80.00308
2016,2,1002,Third & Wood,15,40.43903,-80.00186
2016,2,1003,First Ave & Smithfield St,15,40.4372,-80.000375
2016,2,1004,First Ave & B St,15,40.4358002,-79.9968767
2016,2,1005,Forbes Ave & Grant St,19,40.4387769,-79.9974405
2016,2,1006,Ross St & Sixth Ave,21,40.4400542,-79.9951376
2016,2,1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
2016,2,1008,Centre Ave and Consol,35,40.440368,-79.988636
2016,2,1009,12th St & Penn Ave,19,40.445844,-79.99238
2016,2,1010,10th St & Penn Ave,15,40.444614,-79.9958114
2016,2,1011,Fort Duquesne Blvd & 7th St,15,40.4448352,-80.0007479
2016,2,1012,North Shore Trail & Fort Duquesne Bridge,35,40.445834,-80.008882
2016,2,1013,Isabella St & Federal St,15,40.447571,-80.003964
2016,2,1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
2016,2,1015,Federal St & E North Ave,12,40.45509087,-80.0063467
2016,2,1016,17th St & Penn Ave,19,40.449631,-79.985893
2016,2,1017,21st St & Penn Ave,19,40.452124,-79.983543
2016,2,1018,37th St & Butler St,21,40.466103,-79.964628
2016,2,1019,42nd St & Butler St,17,40.470188,-79.9603066
2016,2,1020,42nd & Penn Ave.,15,40.465893,-79.954417
2016,2,1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
2016,2,1022,Liberty Ave & S Millvale,15,40.4599487,-79.9456124
2016,2,1023,Liberty Ave & Baum Blvd,21,40.456505,-79.939362
2016,2,1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
2016,2,1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
2016,2,1026,S Whitfield St & Baum Blvd,13,40.460982,-79.926302
2016,2,1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
2016,2,1028,Penn Ave & Putnam St (Bakery Sq),19,40.455821,-79.915248
2016,2,1029,Alder St & S Highland Ave,19,40.4573211,-79.9248275
2016,2,1030,S Euclid Ave & Centre Ave,12,40.4589116,-79.9290211
2016,2,1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
2016,2,1032,Maryland Ave & Walnut St,15,40.452621,-79.928637
2016,2,1033,Ivy St & Walnut St,19,40.45177,-79.932324
2016,2,1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
2016,2,1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
2016,2,1036,Schenley Dr at Schenley Plaza,19,40.442398,-79.951479
2016,2,1037,Frew St & Schenley Dr,20,40.441032,-79.948042
2016,2,1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
2016,2,1039,Atwood St & Bates St,19,40.437987,-79.95367
2016,2,1040,Bigelow Blvd & Fifth Ave,21,40.4446284,-79.9550156
2016,2,1041,Fifth Ave & S Bouquet,19,40.442325,-79.957604
2016,2,1042,Centre Ave & Kirkpatrick St,12,40.445019,-79.977194
2016,2,1043,Coltart Ave & Forbes Ave,15,40.438876,-79.960179
2016,2,1044,Zulema St & Coltart Ave,19,40.435986,-79.956942
2016,2,1045,S 27th & Tunnel Blvd,19,40.428658,-79.965228
2016,2,1046,S 25th St & E Carson St,18,40.42802,-79.969799
2016,2,1047,S 22nd St & E Carson St,20,40.428576,-79.974559
2016,2,1048,S 18th St & Sidney St,16,40.429338,-79.980684
2016,2,1049,S 12th St & E Carson St,19,40.4285528,-79.9863687
2016,3,1000,Liberty Ave & Stanwix St,16,40.441326,-80.004679
2016,3,1001,Forbes Ave & Market Square,19,40.440877,-80.00308
2016,3,1002,Third Ave & Wood St,15,40.43903,-80.00186
2016,3,1003,First Ave & Smithfield St (Art Institute),15,40.4372,-80.000375
2016,3,1004,First Ave & B St (T Station),15,40.435887,-79.997102
2016,3,1005,Forbes Ave & Grant St,19,40.438882,-79.997592
2016,3,1006,Ross St & Sixth Ave (Steel Plaza T Station),21,40.440193,-79.995084
2016,3,1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
2016,3,1008,Centre Ave & PPG Paints Arena,35,40.440368,-79.988636
2016,3,1009,12th St & Penn Ave,19,40.445844,-79.99238
2016,3,1010,10th St & Penn Ave (David L. Lawrence Convention Center),15,40.444665,-79.995798
2016,3,1011,Fort Duquesne Blvd & 7th St,15,40.444777,-80.000831
2016,3,1012,North Shore Trail & Fort Duquesne Bridge,35,40.445834,-80.008882
2016,3,1013,Isabella St & Federal St (PNC Park),15,40.447166,-80.003566
2016,3,1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204
2016,3,1015,Federal St & E North Ave,12,40.45509087,-80.0063467
2016,3,1016,17th St & Penn Ave,19,40.449631,-79.985893
2016,3,1017,21st St & Penn Ave,18,40.451742,-79.983217
2016,3,1018,37th St & Butler St,21,40.466103,-79.964628
2016,3,1019,42nd St & Butler St,17,40.47021248,-79.96066332
2016,3,1020,42nd St & Penn Ave (Children's Hospital),15,40.465893,-79.954417
2016,3,1021,Taylor St & Liberty Ave,19,40.462769,-79.950867
2016,3,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),15,40.459812,-79.945548
2016,3,1023,Liberty Ave & Baum Blvd,19,40.456505,-79.939362
2016,3,1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483
2016,3,1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188
2016,3,1026,Penn Ave & S Whitfield St,13,40.461603,-79.925624
2016,3,1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023
2016,3,1028,Penn Ave & Putnam St (Bakery Square),19,40.455821,-79.915248
2016,3,1029,Alder St & S Highland Ave,19,40.457415,-79.92492
2016,3,1030,S Euclid Ave & Centre Ave,12,40.458933,-79.929123
2016,3,1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962
2016,3,1032,Walnut St & College St,14,40.453382,-79.92731
2016,3,1033,Ivy St & Walnut St,19,40.45177,-79.932324
2016,3,1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401
2016,3,1035,Fifth Ave & S Dithridge St,19,40.446744,-79.950881
2016,3,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),19,40.442398,-79.951479
2016,3,1037,Frew St & Schenley Dr,20,40.441032,-79.948042
2016,3,1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877
2016,3,1039,Atwood St & Bates St,19,40.437987,-79.95367
2016,3,1040,Bigelow Blvd & Fifth Ave,21,40.444708,-79.955025
2016,3,1041,Fifth Ave & S Bouquet St,19,40.442325,-79.957604
2016,3,1042,Centre Ave & Kirkpatrick St,12,40.445236,-79.976911
2016,3,1043,Coltart Ave & Forbes Ave,15,40.438876,-79.960179
2016,3,1044,Zulema St & Coltart Ave,19,40.435986,-79.956942
2016,3,1045,S 27th St & Sidney St. (Southside Works),19,40.427899,-79.966112
2016,3,1046,S 25th St & E Carson St,19,40.42802,-79.969799
2016,3,1047,S 22nd St & E Carson St,19,40.428576,-79.974559
2016,3,1048,S 18th St & Sidney St,16,40.429338,-79.980684
2016,3,1049,S 12th St & E Carson St,19,40.428661,-79.986358
2016,4,1000,Liberty Ave & Stanwix St,16,40.441326,-80.004679
2016,4,1001,Forbes Ave & Market Square,19,40.440877,-80.00308
2016,4,1002,Third Ave & Wood St,15,40.43903,-80.00186
2016,4,1003,First Ave & Smithfield St (Art Institute),15,40.4372,-80.000375
2016,4,1004,First Ave & B St (T Station),15,40.435887,-79.997102
2016,4,1005,Forbes Ave & Grant St,19,40.438882,-79.997592
2016,4,1006,Ross St & Sixth Ave (Steel Plaza T Station),21,40.440193,-79.995084
2016,4,1007,Stevenson St & Forbes Ave,19,40.437643,-79.986695
2016,4,1008,Centre Ave & PPG Paints Arena,35,40.440368,-79.988636
2016,4,1009,12th St & Penn Ave,19,40.445844,-79.99238
2016,4,1010,10th St & Penn Ave (David L. Lawrence Convention Center),15,40.444665,-79.995798
2016,4,1011,Fort Duquesne Blvd & 7th St,15,40.444777,-80.000831
